Mods: (374)   			Mod Info			Modloader		Status 				Stabilität
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

- Armor Status HUD		- QoL hud			- NeoForge		- Release			- Stable
- accessories_cclayer		- accessories addon 		- NeoForge		- Beta				- Stable
- AchievementOptimizer		- Performance Mod		- NeoForge		- Release			- Stable
- accessories			- accessory Hud			- NeoForge		- Beta				- Stable
- accessorify			- vanilla accessories   	- NeoForge		- Release			- Stable
- accurate-block-placement	- better block placement	- Fabric 		- Release			- Stable
- actuallyadditions		- Technik Mod			- NeoForge		- Beta				- Stable
- additionalbars		- Decoration Mod		- NeoForge		- Release			- Stable
- AdditionalEnchantedMiner	- Buildcraft Miner		- NeoForge		- Release			- Stable
- AdvancedAE			- Applied Energistics addon	- NeoForge		- Release			- Stable
- AdvancedPeripherals		- Computer craft addon		- NeoForge		- Alpha				- Stable?
- ae2jeiintegration		- QoL Applied Energistics addon	- NeoForge		- Release			- Stable
- ae2wtlib			- AE2 addon wireless terminal	- NeoForge		- Release			- Stable
- aeroblender			- TerraBlender for aether	- NeoForge		- Release			- Stable
- aether			- Fantasy Mod			- NeoForge		- Release			- Stable
- AetherVillages		- Aether village addon		- NeoForge		- Release			- Stable
- AI-Improvements		- Performance Mod		- NeoForge		- Release			- Stable
- alltheleaks			- Performance Mod Memory Leak 	- NeoForge		- Beta				- Stable
- alternate_current		- Redstone dust Performance 	- NeoForge		- Release			- Stable
- AmbientSounds			- Ambient Sounds		- NeoForge		- Release			- Stable
- amendments			- QoL Tweaks Mod		- NeoForge		- Release			- Stable
- Amplified_Nether		- Bigger nether & terrain	- NeoForge		- Release			- Stable
- anvilrestoration		- QoL anvil repair		- NeoForge		- Release			- Stable
- appleskin			- QoL hunger bar		- NeoForge		- Release			- Stable
- appliedenergistics2		- Technik Mod			- NeoForge		- Beta				- Stable
- Applied-Mekanistics		- AE2 & Mekanism compability	- NeoForge		- Release			- Stable
- Aquaculture			- fishing Expansion		- NeoForge		- Release			- Stable
- aquaculturedelight		- Aquaculture Delight addon	- NeoForge		- Release			- Stable		
- architectury			- library mod			- NeoForge		- Release			- Stable
- areas				- ceate custom named areas	- NeoForge		- Release			- Stable
- ars_nouveau			- Fantasy Magic Mod with mana	- NeoForge		- Release			- Stable
- ars_unification		- Ars Nouveau addon 		- NeoForge		- Release			- Stable
- athena			- library mod			- NeoForge		- Release			- Stable
- attributefix			- Performance Mod		- NeoForge		- Release			- Stable
- auto_wood_stripper		- QoL Function Mod		- NeoForge		- Release			- Stable
- AutochefsDelight		- Farmers Delight optimizion	- NeoForge		- Release			- Stable
- automodpack			- auto modpack uodater		- NeoForge		- Release			- Stable
- BadOptimization		- Performance Mod		- NeoForge		- Release			- Stable
- balm				- library mod			- NeoForge		- Release			- Stable
- BetterAdvancements		- Better Advancements screen 	- NeoForge		- Release			- Stable		
- betterbiomereblend		- better biome blend option 	- NeoForge		- Release			- Stable
- BetterF3			- Better F3 screen   		- NeoForge		- Release			- Stable
- betterfpsdist			- Performance Mod		- NeoForge		- Release			- Stable
- BetterGrassify		- Optifine Better Grass option	- NeoForge		- Release			- Stable
